Ape,Medium,Beast,Unaligned, 1/2,100,mm 317
Awakened Shrub,Small,Plant,Unaligned,0    ,10,mm 317
Awakened Tree,Huge,Plant,Unaligned,2    ,450,mm 317
Axe Beak,Large,Beast,Unaligned, 1/4,50,mm 317
Baboon,Small,Beast,Unaligned,0    ,10,mm 318
Badger,Tiny,Beast,Unaligned,0    ,10,mm 318
Bat,Tiny,Beast,Unaligned,0    ,10,mm 318
Black Bear,Medium,Beast,Unaligned, 1/2,100,mm 318
Blink Dog,Medium,Fey,LG, 1/4,50,mm 318
Blood Hawk,Small,Beast,Unaligned, 1/8,25,mm 319
Boar,Medium,Beast,Unaligned, 1/4,50,mm 319
Brown Bear,Large,Beast,Unaligned,1    ,200,mm 319
Camel,Large,Beast,Unaligned, 1/8,25,mm 320
Cat,Tiny,Beast,Unaligned,0    ,10,mm 320
Constrictor Snake,Large,Beast,Unaligned, 1/4,50,mm 320
Crab,Tiny,Beast,Unaligned,0    ,10,mm 320
Crocodile,Large,Beast,Unaligned, 1/2,100,mm 320
Death Dog,Medium,Monstrosity,NE,1    ,200,mm 321
Deer,Medium,Beast,Unaligned,0    ,10,mm 321
Dire Wolf,Large,Beast,Unaligned,1    ,200,mm 321
Draft Horse,Large,Beast,Unaligned, 1/4,50,mm 321
Eagle,Small,Beast,Unaligned,0    ,10,mm 322
Elephant,Huge,Beast,Unaligned,4    ,1100,mm 322
Elk,Large,Beast,Unaligned, 1/4,50,mm 322
Flying Snake,Tiny,Beast,Unaligned, 1/8,25,mm 322
Frog,Tiny,Beast,Unaligned,0    ,0,mm 322
Giant Ape,Huge,Beast,Unaligned,7    ,2900,mm 323
Giant Badger,Medium,Beast,Unaligned, 1/4,50,mm 323
Giant Bat,Large,Beast,Unaligned, 1/4,50,mm 323
Giant Boar,Large,Beast,Unaligned,2    ,450,mm 323
Giant Centipede,Small,Beast,Unaligned, 1/4,50,mm 323
Giant Constrictor Snake,Huge,Beast,Unaligned,2    ,450,mm 324
Giant Crab,Medium,Beast,Unaligned, 1/8,25,mm 324
Giant Crocodile,Huge,Beast,Unaligned,5    ,1800,mm 324
Giant Eagle,Large,Beast,NG,1    ,200,mm 324
Giant Elk,Huge,Beast,Unaligned,2    ,450,mm 325
Giant Fire Beetle,Small,Beast,Unaligned,0    ,10,mm 325
Giant Frog,Medium,Beast,Unaligned, 1/4,50,mm 325
Giant Goat,Large,Beast,Unaligned, 1/2,100,mm 326
Giant Hyena,Large,Beast,Unaligned,1    ,200,mm 326
Giant Lizard,Large,Beast,Unaligned, 1/4,50,mm 326
Giant Octopus,Large,Beast,Unaligned,1    ,200,mm 326
Giant Owl,Large,Beast,N, 1/4,50,mm 327
Giant Poisonous Snake,Medium,Beast,Unaligned, 1/4,50,mm 327
Giant Rat,Small,Beast,Unaligned, 1/8,25,mm 327
Giant Scorpion,Large,Beast,Unaligned,3    ,700,mm 327
Giant Sea Horse,Large,Beast,Unaligned, 1/2,100,mm 328
Giant Shark,Huge,Beast,Unaligned,5    ,1800,mm 328
Giant Spider,Large,Beast,Unaligned,1    ,200,mm 328
Giant Toad,Large,Beast,Unaligned,1    ,200,mm 329
Giant Vulture,Large,Beast,NE,1    ,200,mm 329
Giant Wasp,Medium,Beast,Unaligned, 1/2,100,mm 329
Giant Weasel,Medium,Beast,Unaligned, 1/8,25,mm 329
Giant Wolf Spider,Medium,Beast,Unaligned, 1/4,50,mm 330
Goat,Medium,Beast,Unaligned,0    ,10,mm 330
Hawk,Tiny,Beast,Unaligned,0    ,10,mm 330
Hunter Shark,Large,Beast,Unaligned,2    ,450,mm 330
Hyena,Medium,Beast,Unaligned,0    ,10,mm 331
Jackal,Small,Beast,Unaligned,0    ,10,mm 331
Killer Whale,Huge,Beast,Unaligned,3    ,700,mm 331
Lion,Large,Beast,Unaligned,1    ,200,mm 331
Lizard,Tiny,Beast,Unaligned,0    ,10,mm 332
Mammoth,Huge,Beast,Unaligned,6    ,2300,mm 332
Mastiff,Medium,Beast,Unaligned, 1/8,25,mm 332
Mule,Medium,Beast,Unaligned, 1/8,25,mm 333
Octopus,Small,Beast,Unaligned,0    ,10,mm 333
Owl,Tiny,Beast,Unaligned,0    ,10,mm 333
Panther,Medium,Beast,Unaligned, 1/4,50,mm 333
Phase Spider,Large,Monstrosity,Unaligned,3    ,700,mm 334
Poisonous Snake,Tiny,Beast,Unaligned, 1/8,25,mm 334
Polar Bear,Large,Beast,Unaligned,2    ,450,mm 334
Pony,Medium,Beast,Unaligned, 1/8,25,mm 335
Quipper,Tiny,Beast,Unaligned,0    ,10,mm 335
Rat,Tiny,Beast,Unaligned,0    ,10,mm 335
Raven,Tiny,Beast,Unaligned,0    ,10,mm 335
Reef Shark,Medium,Beast,Unaligned, 1/2,100,mm 336
Rhinoceros,Large,Beast,Unaligned,2    ,450,mm 336
Riding Horse,Large,Beast,Unaligned, 1/4,50,mm 336
Saber-toothed Tiger,Large,Beast,Unaligned,2    ,450,mm 336
Scorpion,Tiny,Beast,Unaligned,0    ,10,mm 337
Sea Horse,Tiny,Beast,Unaligned,0    ,0,mm 337
Spider,Tiny,Beast,Unaligned,0    ,10,mm 337
Swarm of Bats,Medium,Beast,Unaligned, 1/4,50,mm 337
Swarm of Insects,Medium,Beast,Unaligned, 1/2,100,mm 338
Swarm of Poisonous Snakes,Medium,Beast,Unaligned,2    ,450,mm 338
Swarm of Quippers,Medium,Beast,Unaligned,1    ,200,mm 338
Swarm of Rats,Medium,Beast,Unaligned, 1/4,50,mm 339
Swarm of Ravens,Medium,Beast,Unaligned, 1/4,50,mm 339
Tiger,Large,Beast,Unaligned,1    ,200,mm 339
Vulture,Medium,Beast,Unaligned,0    ,10,mm 339
Warhorse,Large,Beast,Unaligned, 1/2,100,mm 340
Weasel,Tiny,Beast,Unaligned,0    ,10,mm 340
Winter Wolf,Large,Monstrosity,NE,3    ,700,mm 340
Wolf,Medium,Beast,Unaligned, 1/4,50,mm 341
Worg,Large,Monstrosity,NE, 1/2,100,mm 341
