Poison,Assassin’s blood,Injury,150 gp,"Assassin’s Blood (Ingested). A creature subjected to this poison must make a DC 10 Constitution saving throw. On a failed save, it takes 6 (1d12) poison damage and is Poisoned for 24 hours. On a successful save, the creature takes half damage and isn’t Poisoned."
Poison,Burnt othur fumes,Inhaled,500 gp,"Burnt Othur Fumes (Inhaled). A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or take 10 (3d6) poison damage, and must repeat the saving throw at the start of each of its turns. On each successive failed save, the character takes 3 (1d6) poison damage. After three successful saves, the poison ends."
Poison,Crawler mucus,Contact,200 gp,"Crawler Mucus (Contact). This poison must be harvested from a dead or Incapacitated crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be Poisoned for 1 minute. The Poisoned creature is Paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
Poison,Drow poison,Injury,200 gp,"Drow Poison (Injury). This poison is typically made only by the drow, and only in a place far removed from sunlight. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be Poisoned for 1 hour. If the saving throw fails by 5 or more, the creature is also Unconscious while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
Poison,Essence of ether,Inhaled,300 gp,Essence of Ether (Inhaled). A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become Poisoned for 8 hours. The Poisoned creature is Unconscious. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.
Poison,Malice,Inhaled,250 gp,Malice (Inhaled). A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become Poisonedfor 1 hour. The Poisoned creature is Blinded.
Poison,Midnight tears,Ingested,"1,500 gp","Midnight Tears (Ingested). A creature that ingests this poison suffers no effect until the stroke of midnight. If the poison has not been neutralized before then, the creature must succeed on a DC 17 Constitution saving throw, taking 31 (9d6) poison damage on a failed save, or half as much damage on a successful one."
Poison,Oil of taggit,Contact,400 gp,Oil of Taggit (Contact). A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or become Poisoned for 24 hours. The Poisoned creature is Unconscious. The creature wakes up if it takes damage.
Poison,Pale tincture,Ingested,250 gp,"Pale Tincture (Ingested). A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or take 3 (1d6) poison damage and become Poisoned. The Poisoned creature must repeat the saving throw every 24 hours, taking 3 (1d6) poison damage on a failed save. Until this poison ends, the damage the poison deals can’t be healed by any means. After seven successful saving throws, the effect ends and the creature can heal normally."
Poison,Purple worm poison,Injury,"2,000 gp","Purple Worm Poison (Injury). This poison must be harvested from a dead or Incapacitated purple worm. A creature subjected to this poison must make a DC 19 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one."
Poison,Serpent venom,Injury,200 gp,"Serpent Venom (Injury). This poison must be harvested from a dead or Incapacitated giant poisonous snake. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one."
Poison,Torpor,Ingested,600 gp,Torpor (Ingested). A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become Poisonedfor 4d6 hours. The Poisoned creature is Incapacitated.
Poison,Truth serum,Ingested,150 gp,"Truth Serum (Ingested). A creature subjected to this poison must succeed on a DC 11 Constitution saving throw or become Poisoned for 1 hour. The Poisoned creature can’t knowingly speak a lie, as if under the effect of a zone of truth spell."
Poison,Wyvern poison,Injury,"1,200 gp","Wyvern Poison (Injury). This poison must be harvested from a dead or Incapacitated wyvern. A creature subjected to this poison must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one."
